享和元年（辛酉）,一月,二月※,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月※,十二月,
グレゴリオ暦,1837/2/5,3月7日,4月5日,5月5日,6月3日,7月3日,8月1日,8月31日,9月30日,10月29日,11月28日,12月27日,
ユリウス暦,1837/1/24,2月23日,3月24日,4月23日,5月22日,6月21日,7月20日,8月19日,9月18日,10月17日,11月16日,12月15日,
天保九年（戊戌）,一月※,二月,三月※,四月,閏四月※,五月※,六月,七月,八月※,九月,十月,十一月※,十二月
グレゴリオ暦,1838/1/26,2月24日,3月26日,4月24日,5月24日,6月22日,7月21日,8月20日,9月19日,10月18日,11月17日,12月17日,1839/1/15
ユリウス暦,1838/1/14,2月12日,3月14日,4月12日,5月12日,6月10日,7月9日,8月8日,9月7日,10月6日,11月5日,12月5日,1839/1/3
天保十年（己亥）,一月※,二月,三月※,四月※,五月,六月※,七月,八月※,九月,十月,十一月,十二月※,
グレゴリオ暦,1839/2/14,3月15日,4月14日,5月13日,6月11日,7月11日,8月9日,9月8日,10月7日,11月6日,12月6日,1840/1/5,
ユリウス暦,1839/2/2,3月3日,4月2日,5月1日,5月30日,6月29日,7月28日,8月27日,9月25日,10月25日,11月24日,12月24日,
天保十一年（庚子）,一月,二月,三月※,四月※,五月※,六月,七月※,八月,九月※,十月,十一月,十二月,
グレゴリオ暦,1840/2/3,3月4日,4月3日,5月2日,5月31日,6月29日,7月29日,8月27日,9月26日,10月25日,11月24日,12月24日,
ユリウス暦,1840/1/22,2月21日,3月22日,4月20日,5月19日,6月17日,7月17日,8月15日,9月14日,10月13日,11月12日,12月12日,
天保十二年（辛丑）,一月※,閏一月,二月※,三月,四月※,五月※,六月,七月※,八月,九月※,十月,十一月,十二月※
グレゴリオ暦,1841/1/23,2月21日,3月23日,4月21日,5月21日,6月19日,7月18日,8月17日,9月15日,10月15日,11月13日,12月13日,1842/1/12
ユリウス暦,1841/1/11,2月9日,3月11日,4月9日,5月9日,6月7日,7月6日,8月5日,9月3日,10月3日,11月1日,12月1日,12月31日
天保十三年（壬寅）,一月,二月,三月※,四月,五月※,六月※,七月,八月※,九月,十月※,十一月,十二月※,
グレゴリオ暦,1842/2/10,3月12日,4月11日,5月10日,6月9日,7月8日,8月6日,9月5日,10月4日,11月3日,12月2日,1843/1/1,
ユリウス暦,1842/1/29,2月28日,3月30日,4月28日,5月28日,6月26日,7月25日,8月24日,9月22日,10月22日,11月20日,12月20日,
天保十四年（癸卯）,一月,二月,三月,四月※,五月,六月※,七月※,八月,九月※,閏九月,十月※,十一月,十二月※
グレゴリオ暦,1843/1/30,3月1日,3月31日,4月30日,5月29日,6月28日,7月27日,8月25日,9月24日,10月23日,11月22日,12月21日,1844/1/20
ユリウス暦,1843/1/18,2月17日,3月19日,4月18日,5月17日,6月16日,7月15日,8月13日,9月12日,10月11日,11月10日,12月9日,1844/1/8
天保十五年（甲辰）,一月,二月,三月※,四月,五月※,六月,七月※,八月,九月※,十月,十一月※,十二月,
グレゴリオ暦,1844/2/18,3月19日,4月18日,5月17日,6月16日,7月15日,8月14日,9月12日,10月12日,11月10日,12月10日,1845/1/8,
ユリウス暦,1844/2/6,3月7日,4月6日,5月5日,6月4日,7月3日,8月2日,8月31日,9月30日,10月29日,11月28日,12月27日,
弘化元年（甲辰）,一月,二月,三月※,四月,五月※,六月,七月※,八月,九月※,十月,十一月※,十二月,
グレゴリオ暦,1844/2/18,3月19日,4月18日,5月17日,6月16日,7月15日,8月14日,9月12日,10月12日,11月10日,12月10日,1845/1/8,
ユリウス暦,1844/2/6,3月7日,4月6日,5月5日,6月4日,7月3日,8月2日,8月31日,9月30日,10月29日,11月28日,12月27日,
弘化二年（乙巳）,一月※,二月,三月※,四月,五月,六月※,七月,八月※,九月,十月※,十一月,十二月※,
グレゴリオ暦,1845/2/7,3月8日,4月7日,5月6日,6月5日,7月5日,8月3日,9月2日,10月1日,10月31日,11月29日,12月29日,
ユリウス暦,1845/1/26,2月24日,3月26日,4月24日,5月24日,6月23日,7月22日,8月21日,9月19日,10月19日,11月17日,12月17日,
弘化三年（丙午）,一月,二月※,三月,四月※,五月,閏五月※,六月,七月,八月※,九月,十月※,十一月,十二月※
グレゴリオ暦,1846/1/27,2月26日,3月27日,4月26日,5月25日,6月24日,7月23日,8月22日,9月21日,10月20日,11月19日,12月18日,1847/1/17
ユリウス暦,1846/1/15,2月14日,3月15日,4月14日,5月13日,6月12日,7月11日,8月10日,9月9日,10月8日,11月7日,12月6日,1847/1/5
弘化四年（丁未）,一月,二月※,三月,四月※,五月※,六月,七月,八月※,九月,十月,十一月※,十二月,
グレゴリオ暦,1847/2/15,3月17日,4月15日,5月15日,6月13日,7月12日,8月11日,9月10日,10月9日,11月8日,12月8日,1848/1/6,
ユリウス暦,1847/2/3,3月5日,4月3日,5月3日,6月1日,6月30日,7月30日,8月29日,9月27日,10月27日,11月26日,12月25日,
弘化五年（戊申）,一月※,二月,三月※,四月※,五月,六月※,七月,八月※,九月,十月,十一月,十二月※,
グレゴリオ暦,1848/2/5,3月5日,4月4日,5月3日,6月1日,7月1日,7月30日,8月29日,9月27日,10月27日,11月26日,12月26日,
ユリウス暦,1848/1/24,2月22日,3月23日,4月21日,5月20日,6月19日,7月18日,8月17日,9月15日,10月15日,11月14日,12月14日,
嘉永元年（戊申）,一月※,二月¶,三月※,四月※,五月,六月※,七月,八月※,九月,十月,十一月,十二月※,
グレゴリオ暦,1848/2/5,3月5日,4月4日,5月3日,6月1日,7月1日,7月30日,8月29日,9月27日,10月27日,11月26日,12月26日,
ユリウス暦,1848/1/24,2月22日,3月23日,4月21日,5月20日,6月19日,7月18日,8月17日,9月15日,10月15日,11月14日,12月14日,
嘉永二年（己酉）,一月,二月※,三月,四月※,閏四月※,五月,六月※,七月,八月※,九月,十月,十一月※,十二月
グレゴリオ暦,1849/1/24,2月23日,3月24日,4月23日,5月22日,6月20日,7月20日,8月18日,9月17日,10月16日,11月15日,12月15日,1850/1/13
ユリウス暦,1849/1/12,2月11日,3月12日,4月11日,5月10日,6月8日,7月8日,8月6日,9月5日,10月4日,11月3日,12月3日,1850/1/1
嘉永三年（庚戌）,一月,二月※,三月,四月※,五月※,六月,七月※,八月,九月※,十月,十一月※,十二月,
グレゴリオ暦,1850/2/12,3月14日,4月12日,5月12日,6月10日,7月9日,8月8日,9月6日,10月6日,11月4日,12月4日,1851/1/2,
ユリウス暦,1850/1/31,3月2日,3月31日,4月30日,5月29日,6月27日,7月27日,8月25日,9月24日,10月23日,11月22日,12月21日,
嘉永四年（辛亥）,一月,二月,三月※,四月,五月※,六月※,七月,八月※,九月,十月※,十一月,十二月※,
グレゴリオ暦,1851/2/1,3月3日,4月2日,5月1日,5月31日,6月29日,7月28日,8月27日,9月25日,10月25日,11月23日,12月23日,
ユリウス暦,1851/1/20,2月19日,3月21日,4月19日,5月19日,6月17日,7月16日,8月15日,9月13日,10月13日,11月11日,12月11日,
嘉永五年（壬子）,一月,二月,閏二月※,三月,四月,五月※,六月※,七月,八月※,九月,十月※,十一月,十二月※
グレゴリオ暦,1852/1/21,2月20日,3月21日,4月19日,5月19日,6月18日,7月17日,8月15日,9月14日,10月13日,11月12日,12月11日,1853/1/10
ユリウス暦,1852/1/9,2月8日,3月9日,4月7日,5月7日,6月6日,7月5日,8月3日,9月2日,10月1日,10月31日,11月29日,12月29日
嘉永六年（癸丑）,一月,二月※,三月,四月,五月※,六月,七月※,八月,九月※,十月,十一月※,十二月,
グレゴリオ暦,1853/2/8,3月10日,4月8日,5月8日,6月7日,7月6日,8月5日,9月3日,10月3日,11月1日,12月1日,12月30日,
ユリウス暦,1853/1/27,2月26日,3月27日,4月26日,5月26日,6月24日,7月24日,8月22日,9月21日,10月20日,11月19日,12月18日,
嘉永七年（甲寅）,一月※,二月,三月※,四月,五月※,六月,七月,閏七月※,八月,九月※,十月,十一月※¶,十二月
グレゴリオ暦,1854/1/29,2月27日,3月29日,4月27日,5月27日,6月25日,7月25日,8月24日,9月22日,10月22日,11月20日,12月20日,1855/1/18
ユリウス暦,1854/1/17,2月15日,3月17日,4月15日,5月15日,6月13日,7月13日,8月12日,9月10日,10月10日,11月8日,12月8日,1855/1/6
安政元年（甲寅）,一月※,二月,三月※,四月,五月※,六月,七月,閏七月※,八月,九月※,十月,十一月※¶,十二月
グレゴリオ暦,1854/1/29,2月27日,3月29日,4月27日,5月27日,6月25日,7月25日,8月24日,9月22日,10月22日,11月20日,12月20日,1855/1/18
ユリウス暦,1854/1/17,2月15日,3月17日,4月15日,5月15日,6月13日,7月13日,8月12日,9月10日,10月10日,11月8日,12月8日,1855/1/6
安政二年（乙卯）,一月※,二月,三月※,四月※,五月,六月,七月※,八月,九月,十月※,十一月,十二月※,
グレゴリオ暦,1855/2/17,3月18日,4月17日,5月16日,6月14日,7月14日,8月13日,9月11日,10月11日,11月10日,12月9日,1856/1/8,
ユリウス暦,1855/2/5,3月6日,4月5日,5月4日,6月2日,7月2日,8月1日,8月30日,9月29日,10月29日,11月27日,12月27日,
安政三年（丙辰）,一月,二月※,三月※,四月,五月※,六月,七月※,八月,九月,十月,十一月※,十二月,
グレゴリオ暦,1856/2/6,3月7日,4月5日,5月4日,6月3日,7月2日,8月1日,8月30日,9月29日,10月29日,11月28日,12月27日,
ユリウス暦,1856/1/25,2月24日,3月24日,4月22日,5月22日,6月20日,7月20日,8月18日,9月17日,10月17日,11月16日,12月15日,
安政四年（丁巳）,一月※,二月,三月※,四月※,五月,閏五月※,六月,七月※,八月,九月,十月※,十一月,十二月
グレゴリオ暦,1857/1/26,2月24日,3月26日,4月24日,5月23日,6月22日,7月21日,8月20日,9月18日,10月18日,11月17日,12月16日,1858/1/15
ユリウス暦,1857/1/14,2月12日,3月14日,4月12日,5月11日,6月10日,7月9日,8月8日,9月6日,10月6日,11月5日,12月4日,1858/1/3
安政五年（戊午）,一月※,二月,三月※,四月※,五月,六月※,七月※,八月,九月,十月※,十一月,十二月,
グレゴリオ暦,1858/2/14,3月15日,4月14日,5月13日,6月11日,7月11日,8月9日,9月7日,10月7日,11月6日,12月5日,1859/1/4,
ユリウス暦,1858/2/2,3月3日,4月2日,5月1日,5月30日,6月29日,7月28日,8月26日,9月25日,10月25日,11月23日,12月23日,
安政六年（己未）,一月,二月※,三月,四月※,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月,
グレゴリオ暦,1859/2/3,3月5日,4月3日,5月3日,6月1日,6月30日,7月30日,8月28日,9月26日,10月26日,11月24日,12月24日,
ユリウス暦,1859/1/22,2月21日,3月22日,4月21日,5月20日,6月18日,7月18日,8月16日,9月14日,10月14日,11月12日,12月12日,
安政七年（庚申）,一月,二月※,三月¶,閏三月,四月※,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月
グレゴリオ暦,1860/1/23,2月22日,3月22日,4月21日,5月21日,6月19日,7月18日,8月17日,9月15日,10月14日,11月13日,12月12日,1861/1/11
ユリウス暦,1860/1/11,2月10日,3月10日,4月9日,5月9日,6月7日,7月6日,8月5日,9月3日,10月2日,11月1日,11月30日,12月30日
万延元年（庚申）,一月,二月※,三月,閏三月,四月※,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月
グレゴリオ暦,1860/1/23,2月22日,3月22日,4月21日,5月21日,6月19日,7月18日,8月17日,9月15日,10月14日,11月13日,12月12日,1861/1/11
ユリウス暦,1860/1/11,2月10日,3月10日,4月9日,5月9日,6月7日,7月6日,8月5日,9月3日,10月2日,11月1日,11月30日,12月30日
万延二年（辛酉）,一月※,二月,三月,四月※,五月,六月※,七月,八月※,九月,十月※,十一月※,十二月,
グレゴリオ暦,1861/2/10,3月11日,4月10日,5月10日,6月8日,7月8日,8月6日,9月5日,10月4日,11月3日,12月2日,12月31日,
ユリウス暦,1861/1/29,2月27日,3月29日,4月28日,5月27日,6月26日,7月25日,8月24日,9月22日,10月22日,11月20日,12月19日,
文久元年（辛酉）,一月※,二月,三月,四月※,五月,六月※,七月,八月※,九月,十月※,十一月※,十二月,
グレゴリオ暦,1861/2/10,3月11日,4月10日,5月10日,6月8日,7月8日,8月6日,9月5日,10月4日,11月3日,12月2日,12月31日,
ユリウス暦,1861/1/29,2月27日,3月29日,4月28日,5月27日,6月26日,7月25日,8月24日,9月22日,10月22日,11月20日,12月19日,
文久二年（壬戌）,一月,二月※,三月,四月,五月※,六月,七月※,八月,閏八月※,九月,十月※,十一月,十二月※
グレゴリオ暦,1862/1/30,3月1日,3月30日,4月29日,5月29日,6月27日,7月27日,8月25日,9月24日,10月23日,11月22日,12月21日,1863/1/20
ユリウス暦,1862/1/18,2月17日,3月18日,4月17日,5月17日,6月15日,7月15日,8月13日,9月12日,10月11日,11月10日,12月9日,1863/1/8
文久三年（癸亥）,一月※,二月,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月※,十二月,
グレゴリオ暦,1863/2/18,3月19日,4月18日,5月18日,6月16日,7月16日,8月14日,9月13日,10月13日,11月11日,12月11日,1864/1/9,
ユリウス暦,1863/2/6,3月7日,4月6日,5月6日,6月4日,7月4日,8月2日,9月1日,10月1日,10月30日,11月29日,12月28日,
文久四年（甲子）,一月※,二月※,三月,四月※,五月,六月※,七月,八月,九月,十月※,十一月,十二月※,
グレゴリオ暦,1864/2/8,3月8日,4月6日,5月6日,6月4日,7月4日,8月2日,9月1日,10月1日,10月31日,11月29日,12月29日,
ユリウス暦,1864/1/27,2月25日,3月25日,4月24日,5月23日,6月22日,7月21日,8月20日,9月19日,10月19日,11月17日,12月17日,
元治元年（甲子）,一月※,二月※,三月,四月※,五月,六月※,七月,八月,九月,十月※,十一月,十二月※,
グレゴリオ暦,1864/2/8,3月8日,4月6日,5月6日,6月4日,7月4日,8月2日,9月1日,10月1日,10月31日,11月29日,12月29日,
ユリウス暦,1864/1/27,2月25日,3月25日,4月24日,5月23日,6月22日,7月21日,8月20日,9月19日,10月19日,11月17日,12月17日,
元治二年（乙丑）,一月,二月※,三月※,四月,五月※,閏五月,六月※,七月,八月,九月※,十月,十一月,十二月※
グレゴリオ暦,1865/1/27,2月26日,3月27日,4月25日,5月25日,6月23日,7月23日,8月21日,9月20日,10月20日,11月18日,12月18日,1866/1/17
ユリウス暦,1865/1/15,2月14日,3月15日,4月13日,5月13日,6月11日,7月11日,8月9日,9月8日,10月8日,11月6日,12月6日,1866/1/5
慶応元年（乙丑）,四月,五月※,閏五月,六月※,七月,八月,九月※,十月,十一月,十二月※,,,
グレゴリオ暦,1865/5/1[4],5月25日,6月23日,7月23日,8月21日,9月20日,10月20日,11月18日,12月18日,1866/1/17,,,
慶応二年（丙寅）,一月,二月※,三月,四月※,五月※,六月※,七月,八月,九月※,十月,十一月,十二月,
グレゴリオ暦,1866/2/15,3月17日,4月15日,5月15日,6月13日,7月12日,8月10日,9月9日,10月9日,11月7日,12月7日,1867/1/6,
慶応三年（丁卯）,一月※,二月,三月※,四月,五月※,六月※,七月※,八月,九月※,十月,十一月,十二月,
グレゴリオ暦,1867/2/5,3月6日,4月5日,5月4日,6月3日,7月2日,7月31日,8月29日,9月28日,10月27日,11月26日,12月26日,
慶応四年（戊辰）,一月※,二月,三月,四月※,閏四月※,五月,六月※,七月※,八月,九月※,十月,十一月,十二月※
グレゴリオ暦,1868/1/25,2月23日,3月24日,4月23日,5月22日,6月20日,7月20日,8月18日,9月16日,10月16日,11月14日,12月14日,1869/1/13
明治2年（己巳）,一月,二月,三月,四月※,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月,
西暦,1869/2/11,3月13日,4月12日,5月12日,6月10日,7月9日,8月8日,9月6日,10月5日,11月4日,12月3日,1870/1/2,
明治3年（庚午）,一月※,二月,三月,四月※,五月,六月※,七月,八月※,九月,十月※,閏十月※,十一月,十二月※
西暦,1870/2/1,3月2日,4月1日,5月1日,5月30日,6月29日,7月28日,8月27日,9月25日,10月25日,11月23日,12月22日,1871/1/21
明治4年（辛未）,一月,二月,三月※,四月,五月,六月※,七月,八月※,九月,十月※,十一月※,十二月,
西暦,1871/2/19,3月21日,4月20日,5月19日,6月18日,7月18日,8月16日,9月15日,10月14日,11月13日,12月12日,1872/1/10,
明治5年（壬申）,一月※,二月,三月※,四月,五月,六月※,七月,八月,九月※,十月,十一月※,十二月,
西暦,1872/2/9,3月9日,4月8日,5月7日,6月6日,7月6日,8月4日,9月3日,10月3日,11月1日,12月1日,12/30?12/31[35],
